Con	Name
1	Электронный аукцион
4	Закупка у единственного поставщика (подрядчика, исполнителя)
2	Запрос котировок
5	Открытый конкурс
3	Запрос предложений
6	Конкурс с ограниченным участием
6	Закрытый конкурс
6	Закрытый аукцион
1	Электронный аукцион
5	Открытый конкурс для заключения договора на проведение аудита бухгалтерской (финансовой) отчетности (согласно ч. 4 ст. 5 Федерального закона от 30.12.2008г. № 307-ФЗ)
6	Повторный конкурс
6	Предварительный отбор
6	Конкурс для заключения энергосервисного контракта
2	Запрос котировок
1	Электронный аукцион для заключения энергосервисного контракта
4	Закупка у единственного поставщика (подрядчика, исполнителя)
2	Запрос котировок для оказания скорой, в том числе скорой специализированной, медицинской помощи в экстренной или неотложной форме и нормального жизнеобеспечения граждан (в соответствии со Статьей 76 Федерального закона № 44-ФЗ)
2	Запрос котировок на выполнение работ по строительству, реконструкции, капитальному ремонту, а также проектных, изыскательских работ в отношении олимпийских объектов и строительству домов взамен земельных участков и объектов недвижимого имущества, изымаемы
6	Запрос котировок в целях оказания гуманитарной помощи либо ликвидации последствий чрезвычайной ситуации природного или техногенного характера (в соответствии со Статьей 82 Федерального закона № 44-ФЗ)
2	Запрос котировок для заключения энергосервисного контракта
6	Повторный конкурс с ограниченным участием
6	Конкурс с ограниченным участием
6	Предварительный отбор
5	Открытый конкурс
6	Закрытый конкурс с ограниченным участием
6	Двухэтапный конкурс
6	Конкурс для заключения энергосервисного контракта
3	Запрос предложений
6	Конкурс для заключения энергосервисного контракта
4	СБ-АСТ: Закупка у единственного источника
2	Запрос котировок в электронной форме
6	Конкурентные переговоры
2	Запрос котировок в электронной форме
2	Запрос котировок цен в электронной форме
2	Запрос котировок цен
3	запрос предложений
1	Аукцион в электронной форме
6	Запрос цен
5	Открытый запрос предложений в электронной форме
5	СБ-АСТ: Открытый аукцион в электронной форме
2	Запрос ценовых котировок
6	Конкурс
4	Прямая закупка (у единственного поставщика, подрядчика, исполнителя)
6	Запрос цен
4	Прямая закупка (у единственного поставщика, подрядчика, исполнителя)
3	Запрос предложений
2	Запрос котировок в электронной форме
2	Запрос котировок в электронной форме
3	Запрос предложений
5	Открытый аукцион в электронной форме 223 ФЗ
2	запрос котировок в электронном виде
5	СБ-АСТ: Открытый запрос предложений в электронной форме
2	запрос ценовых котировок
2	запрос котировок (цен)
6	Сравнение цен
5	Открытый аукцион в электронной форме 223 ФЗ
6	Запрос цен (в письменной форме)
3	Запрос предложений
3	Запрос предложений
3	Запрос предложений
2	запрос котировок (цен) в электронной форме
5	Открытый аукцион в электронной форме 223 ФЗ
2	Запрос котировок в электронной форме
5	Открытый конкурс в электронном виде
1	Электронный аукцион
5	Открытый запрос предложений
5	Открытый запрос предложений в электронной форме
2	Запрос котировок (запрос цен)
2	Запрос котировок по 223 ФЗ
5	Открытый аукцион в электронной форме (223-ФЗ)
6	Запрос цен в электронной форме
5	Открытый аукцион в электронной форме (223 ФЗ)
5	Открытый аукцион в электронной форме (223 ФЗ)
3	Запрос предложений
2	Запрос котировок к электронной форме
5	Открытый аукцион в электронной форме 223 ФЗ
5	Открытый аукцион в электронной форме 223 ФЗ
2	запрос котировок в электронном виде
2	ЗАПРОС КОТИРОВОК В ЭЛЕКТРОННОЙ ФОРМЕ
2	ЕСТП: запрос котировок в электронной форме
2	запрос котировок в электронной форме
5	Открытый аукцион в электронной форме 223 ФЗ
2	Запрос котировок в электронной форме
2	Запрос котировок в электронной форме
1	Электронный аукцион 223ФЗ
6	Запрос цен
1	Электронный аукцион
2	Запрос котировок в электронной форме
2	Запрос котировок в электронной форме
5	ЕСТП: Открытый аукцион в электронной форме
2	Запрос котировок в электронной форме
5	Открытый запрос предложений
2	Запрос котировок (запрос цен)
4	Закупка у единственного поставщика
2	Запрос котировок в электронной форме
1	Электронный аукцион (223-ФЗ)
2	Запрос котировок в электронной форме
5	СБ-АСТ: Открытый запрос котировок в электронной форме
2	ЕСТП: Запрос котировок в электронной форме
3	Запрос предложений
3	Запрос предложений в электронной форме
5	ЕСТП: Открытый аукцион в электронной форме
2	Запрос котировок в электронной форме
3	Запрос предложений в электронной форме
1	Электронный аукцион 223 фз
2	Запрос котировок (ценовых предложений)
1	Электронный аукцион
2	Запрос котировок в электронной форме 223 ФЗ
2	ЕСТП: Запрос котировок в электронной форме
1	Электронный аукцион
2	запрос котировок в электронной форме
5	Открытый запрос предложений
1	Аукцион в электронной форме 223
6	запрос цен
4	Закупка у единственного поставщика
5	Открытый запрос предложений
6	Конкурс в электронной форме
2	Запрос котировок в электронной форме
2	Запрос котировк
5	Открытый запрос предложений (электронная форма)
2	Запрос котировок в электронной форме
3	Запрос предложений
5	Открытый конкурс в электронной форме
1	Аукцион в электронной форме по 223-ФЗ
5	ESTP : открытый аукцион в электронной форме
1	Аукцион (заявка в двух частях)
1	Электронный аукцион
2	Запрос котировок в электронной форме
5	Открытый аукцион в электронной форме 223 ФЗ
5	Открытый конкурс в электронной форме
6	запрос цен
2	ЕСТП: Запрос котировок в электронной форме
1	электронный аукцион
6	КОНКУРЕНТНЫЕ ПЕРЕГОВОРЫ
1	ЕСТП: Электронный аукцион
2	запрос котировок (223 ФЗ)
5	Открытый аукцион в электронной форме 223 ФЗ
2	Запрос котировок в электронной форме
2	Запрос котировок в электронной форме
5	Открытый аукцион в электронной форме ESTP
5	ESTP: Открытый аукцион в электронной форме
1	Электронный аукцион
2	запрос котировок в электронной форме
1	Аукцион в электронной форме по 223-ФЗ
1	Электронный аукцион
2	Запрос котировок в электронной форме
2	Запрос котировок в электронной форме
2	Запрос котировок в электронной форме
2	запрос котировок в электронной форме
2	Запрос котировок в электронной форме
5	Открытый аукцион в электронной форме 223 ФЗ
2	Запрос котировок в электронной форме
2	ЕСТП:Запрос котировок в бумажной форме
1	Аукцион
2	Запрос котировок в электронной форме
2	Запрос котировок в электронной форме
5	Открытый аукцион в электронной форме
5	Открытый аукцион в электронной форме (по 94ФЗ)
4	Закупка у единственного поставщика (исполнителя, подрядчика)
5	Открытый аукцион
5	Открытый конкурс
2	Запрос котировок
5	Открытый конкурс в электронном виде
5	открытый запрос цен
2	Запрос котировок в электронной форме
3	Запрос предложений
5	Открытый запрос котировок в электронном виде
5	Открытый аукцион в электронном виде
5	Открытый запрос предложений
2	запрос котировок в электронной форме
2	Запрос котировок в электронной форме
5	открытый запрос котировок (цен)
6	Одноэтапный запрос цен в электронной форме
3	ЕСТП: Запрос предложений в электронной форме
5	Открытый запрос предложений в электронной форме
5	Открытый запрос предложений
5	Открытый запрос предложений
5	открытый запрос котировок в электронной форме
2	Запрос котировок в электронной форме
2	Котировочная сессия
3	Запрос ценовых предложений
5	Открытый запрос котировок
5	Открытый запрос котировок
2	запрос котировок в электронной форме
3	Запрос ценовых предложений
5	Открытый запрос предложений в электронной форме
5	Открытый запрос цен
5	открытый запрос предложений
3	Сбор коммерческих предложений
5	Открытый аукцион в электронной форме (ЕЭТП)
5	Открытый запрос котировок в электронной форме
2	Запрос котировок в электронной форме
3	запрос предложений
2	Запрос котировок в электронной форме
6	Запрос цен
2	Запрос котировок в электронной форме
6	запрос цен
3	Запрос предложений
6	Закрытый конкурс
3	запрос предложений
2	Запрос котировок цен (проведение ценовых котировок)
3	запрос ценовых предложений
3	Запрос предложений
6	Запрос цен
5	Открытый конкурс с процедурой пошагового понижения
5	Открытый запрос предложений в электронной форме
1	Аукцион в электронной форме
5	Открытый запрос предложений
6	ЕЭТП
6	Запрос цен
2	Запрос котировок (в том числе в электронной форме)
5	Открытый запрос цен в электронной форме
3	Закрытый запрос предложений
6	Закрытый конкурс в электронном виде
3	запрос предложений
